127.0.0.1 - - [16/Feb/2024:00:53:50 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:53:51 +0200] "GET /test/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:56:10 +0200] "GET /test/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:56:14 +0200] "GET /test/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:56:14 +0200] "GET /test/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:56:15 +0200] "GET /test/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:56:25 +0200] "GET /test/Login.jsp HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:59:52 +0200] "GET /test HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Feb/2024:00:59:54 +0200] "GET /test/ HTTP/1.1" 404 760
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:01:41 +0200] "GET /test/ HTTP/1.1" 200 133
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:03:36 +0200] "GET /test/ HTTP/1.1" 200 989
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:04 +0200] "GET /test/ HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:11 +0200] "GET /test/ HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:12 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:16 +0200] "GET /test/Home.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:30 +0200] "GET /test/ HTTP/1.1" 200 1000
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:31 +0200] "GET /test/Home.jsp HTTP/1.1" 404 738
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:36 +0200] "GET /test/ HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:36 +0200] "GET /test/ HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:37 +0200] "GET /test/ HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:37 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:38 +0200] "GET /test/index.jsp HTTP/1.1" 200 1001
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:39 +0200] "GET /test/Login.jsp HTTP/1.1" 200 2153
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:46 +0200] "GET /test/Register.jsp HTTP/1.1" 200 2156
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:04:48 +0200] "GET /test/Dashboard.jsp HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:06:55 +0200] "GET /test/Dashboard.jsp HTTP/1.1" 200 4060
0:0:0:0:0:0:0:1 - - [16/Feb/2024:01:13:24 +0200] "GET /test/ HTTP/1.1" 200 987
